money,context
['thirty shillings'],"I would leave all my things at the station cloakroom, except my second-best suit, which I could exchange for some cheap clothes and perhaps a pound. If I was going to live a month on thirty shillings I must have bad clothes--indeed, the worse the better. Whether thirty shillings could be made to last a month I had no idea, not knowing London as I knew Paris."
['thirty shillings'],"If I was going to live a month on thirty shillings I must have bad clothes--indeed, the worse the better. Whether thirty shillings could be made to last a month I had no idea, not knowing London as I knew Paris. Perhaps I could beg, or sell bootlaces, and I remembered articles I had read in the Sunday papers about beggars who have two thousand pounds sewn into their trousers."
['thousand pounds'],"Whether thirty shillings could be made to last a month I had no idea, not knowing London as I knew Paris. Perhaps I could beg, or sell bootlaces, and I remembered articles I had read in the Sunday papers about beggars who have two thousand pounds sewn into their trousers. It was, at any rate, notoriously impossible to starve in London, so there was nothing to be anxious about."
['eight shillings'],"The tea-and-two-slices cost threepence halfpenny, leaving me with eight and twopence. XXV    THE eight shillings lasted three days and four nights. After my bad experience in the Waterloo Road* I moved eastward, and spent the next night in a lodging-house in Pennyfields."
['a shilling'],"We slept fifteen or twenty in a dormitory; the beds were again cold and hard, but the sheets were not more than a week from the wash, which was an improvement. The charge was ninepence or a shilling (in the shilling dormitory the beds were six feet apart instead of four) and the terms were cash down by seven in the evening or out you went. [*It is a curious but well-known fact that bugs are much commoner in south than north London."
['ten shillings'],"He seemed contented, valuing his bed and fire more than food. But, with an income of ten shillings a week, to spend money on a shave--it is awe-inspiring. All day I loafed in the streets, east as far as Wapping, west as far as Whitechapel."
['a shilling'],"Afterwards I heard Steve explaining the cause of the quarrel. It appeared that it was all about a shilling's worth of food. In some way the old man had lost his store of bread and margarine, and so would have nothing to eat for the next three days, except what the others gave him in charity."
['two shillings'],"We arranged to go into London the next morning. I had only a halfpenny, but Paddy had two shillings, which would get us a bed each and a few cups of tea. The Edbury spike did not differ much from the one at Romton."
['half crown'],"They were playing chess verbally, not even writing down the moves. One of them was blind, and I heard them say that they had been saving up for a long time to buy a board, price half a crown, but could never manage it. Here and there were clerks out of work, pallid and moody."
['two pounds'],"At ten I went to B.'s office and asked him to lend me a pound. He gave me two pounds and told me to come again when necessary, so that Paddy and I were free of money troubles for a week at least. We loitered the day in Trafalgar Square, looking for a friend of Paddy's who never turned up, and at night went to a lodging-house in a back alley near the Strand."
['half crown'],"He said:  ''Ere y'are, the best rig-out you ever 'ad. A tosheroon [half a crown] for the coat, two 'ogs for the trousers, one and a tanner for the boots, and a 'og for the cap and scarf. That's seven bob.'"
['four pound'],I seen 'em steal a wooden leg off a cripple before now. Once I see a man--fourteen-stone man he was--come into a lodgin'-house wid four pound ten. He puts it under his mattress.
['four pound'],Four fellers had took his mattress by de corners an' lifted him off as light as a feather. He never saw his four pound ten again.' XXX    THE next morning
['a penny'],"Addresses did not exist in Paddy's world, but he had a vague idea that Bozo might be found in Lambeth, and in the end we ran across him on the Embankment, where he had established himself not far from Waterloo Bridge. He was kneeling on the pavement with a box of chalks, copying a sketch of Winston Churchill from a penny note-book. The likeness was not at all bad."
"['as much as four pounds', 'four pounds']","Take the year round, I make about a pound a week, because you can't do much in the winter. Boat Race day, and Cup Final day, I've took as much as four pounds. But you have to _cut_ it out of them, you know; you don't take a bob if you just sit and look at them."
['a penny'],"They're not so bloody mean as what an Englishman is. Another thing to remember is to keep your money covered up, except perhaps a penny in the hat. People won't give you anything if they see you got a bob or two already.'"
['sixteen shillings'],"That evening I went down to the Embankment to meet him, as he had arranged to take Paddy and myself to a lodging-house south of the river. Bozo washed his pictures off the pavement and counted his takings--it was about sixteen shillings, of which he said twelve or thirteen would be profit. We walked down into Lambeth."
['sixty pounds'],"Bozo went on the drink for a week, and then returned to work, rather shaky; the same morning he fell from a stage on which he was working, forty feet on to the pavement, and smashed his right foot to pulp. For some reason he received only sixty pounds compensation. He returned to England, spent his money in looking for jobs, tried hawking books in Middlesex Street market, then tried selling toys from a tray, and finally settled down as a screever."
['every penny'],"If he was penniless when winter came on, then society must look after him. He was ready to extract every penny he could from charity, provided that he was not expected to say thank you for it. He avoided religious charities, however, for he said it stuck in his throat to sing hymns for buns."
['a few pence'],"Old 'Grandpa', a tramp of seventy who made his living, or a great part of it, by collecting cigarette ends and selling the tobacco at threepence an ounce. 'The Doctor'--he was a real doctor, who had been struck off the register for some offence, and besides selling newspapers gave medical advice at a few pence a time. A little Chittagonian lascar, barefoot and starving, who had deserted his ship and wandered for days through London, so vague and helpless that he did not even know the name of the city he was in--he thought it was Liverpool, until I told him."
['thousand pounds'],"The amounts that one can earn by the different 'gags' also vary. The stories in the Sunday papers about beggars who die with two thousand pounds sewn into their trousers are, of course, lies; but the better-class beggars do have runs of luck, when they earn a living wage for weeks at a time. The most prosperous beggars are street acrobats and street photographers."
['five pounds'],"The most prosperous beggars are street acrobats and street photographers. On a good pitch--a theatre queue, for instance--a street acrobat will often earn five pounds a week. Street photographers can earn about the same, but they are dependent on fine weather."
"['fifteen shillings', 'three pounds']","It was a point of honour with Shorty always to play another tune after receiving the 'drop'--an encore, as it were; the idea being that he was a genuine entertainer and not merely paid to go away. He and his mate took two or three pounds a week between them, but, as they had to pay fifteen shillings a week for the hire of the organ, they only averaged a pound a week each. They were on the streets from eight in the morning till ten at night, and later on Saturdays."
['half crown'],"Below screevers come the people who sing hymns, or sell matches, or bootlaces, or envelopes containing a few grains of lavender--called, euphemistically, perfume. All these people are frankly beggars, exploiting an appearance of misery, and none of them takes on an average more than half a crown a day. The reason why they have to pretend to sell matches and so forth instead of begging outright is that this is demanded by the absurd English laws about begging."
['50 pounds'],"Match-selling and street-singing are simply legalized crimes. Not profitable crimes, however; there is not a singer or match-seller in London who can be sure of 50 pounds a year--a poor return for standing eighty-four hours a week on the kerb, with the cars grazing your backside. It is worth saying something about the social position of beggars, for when one has consorted with them, and found that they are ordinary human beings, one cannot help being struck by the curious attitude that society takes towards them."
['ten pounds'],"By this test beggars fail, and for this they are despised. If one could earn even ten pounds a week at begging, it would become a respectable profession immediately. A beggar, looked at realistically, is simply a businessman, getting his living, like other businessmen, in the way that comes to hand."
['a shilling'],A tosheroon--a half-crown. A deaner--a shilling. A hog-- a shilling.
['a shilling'],A deaner--a shilling. A hog-- a shilling. A sprowsie--a sixpence.
['two pounds'],"It might throw useful light upon the formation, development, and obsolescence of words. XXXIII    THE two pounds that B. had given me lasted about ten days. That it lasted so long was due to Paddy, who had learned parsimony on the road and considered even one sound meal a day a wild extravagance."
['half crown'],"Food, to him, had come to mean simply bread and margarine--the eternal tea-and-two-slices, which will cheat hunger for an hour or two. He taught me how to live, food, bed, tobacco, and all, at the rate of half a crown a day. And he managed to earn a few extra shillings by 'glimming' in the evenings."
